userID,itemID,rating
2345,468,0.150093
381,181,-0.057609
2679,320,0.496887
1638,632,0.587071
1562,40,0.052760
42,180,0.650174
244,202,0.161747
2456,825,-0.386633
2095,44,0.328130
516,276,0.578178
620,449,0.076185
2320,202,-0.051744
521,197,0.005170
2731,22,0.346128
2026,858,0.953917
1778,9,-0.038132
2039,43,0.084296
2581,52,0.205059
927,183,0.114226
1516,23,0.070855
2958,3,0.592219
2252,779,0.705548
125,1837,0.012970
34,36,-0.047009
996,475,-0.627171
2720,415,0.236934
2940,206,0.095476
1691,47,0.360500
722,1205,-0.309182
1612,246,-0.009034
1338,558,0.286220
1103,632,1.049600
2121,178,0.058775
2301,1040,0.001818
2548,693,0.412725
1716,2522,-0.005413
454,44,0.279236
254,873,0.018157
120,563,0.257847
2751,9,-0.037665
2598,210,0.112481
1333,1729,0.224702
2901,311,0.662125
722,382,0.092756
1439,9,-0.154900
247,247,0.736044
2912,311,-0.825983
2252,158,0.015052
1531,476,0.807385
2345,68,0.898017
1824,358,-0.717636
521,36,0.017293
2580,1226,0.367637
2712,569,-0.161136
1467,2250,0.723738
1836,36,0.245019
23,182,1.125523
2108,112,0.488778
889,40,-0.098415
2708,1067,1.414044
952,206,-0.031823
1519,367,0.153672
913,535,0.037363
1906,227,0.120308
1939,40,-0.080523
791,854,0.178704
2013,103,0.163276
2144,181,-0.201373
2356,2107,-0.009894
223,915,0.325266
1749,177,0.535685
2266,133,-0.005261
1782,1672,0.371317
1460,518,-0.204274
2750,169,0.781746
2320,624,0.166774
2724,306,0.496620
893,317,0.492589
1201,165,-0.033979
1920,89,0.210965
1732,1638,-0.256032
1969,183,0.018128
885,18,0.112120
2735,309,-0.001480
2027,178,-0.238154
2835,14,-0.349256
1906,1908,0.216702
1231,632,-0.149485
1718,165,-0.898542
2654,43,0.071527
531,562,2.105812
354,126,0.036846
1004,793,0.021853
1336,7,0.118882
899,124,0.321270
1700,124,0.485447
145,90,-0.064689
2595,73,-0.074568
2087,1181,-0.708546
1883,1249,1.136706
4,71,-0.089653
1175,864,-0.205841
1359,53,-0.230505
480,249,0.299801
1630,14,-0.154699
1150,1966,0.090305
2504,202,0.262356
2624,1224,0.183904
2188,1995,-0.072989
560,1671,0.110220
373,227,1.363541
454,1009,0.281575
902,359,0.083012
2491,1046,0.017100
882,72,0.085164
2179,21,-0.098465
505,5,0.085222
1680,2,-0.030102
608,249,-0.113734
214,127,0.185102
2510,87,0.192300
1476,7,0.536870
95,1107,0.799032
1477,10,0.034690
475,289,0.162398
25,1106,0.178301
262,1173,0.925280
146,0,0.004668
90,90,0.087586
1837,202,0.000698
1195,168,0.017747
1334,800,0.699838
1329,394,0.258511
1098,825,-0.276028
2929,768,0.173452
1568,297,-0.338430
1119,773,0.284613
48,279,0.130736
1338,712,0.312678
2687,72,0.004794
701,152,0.616130
2077,1054,0.100256
213,754,1.044542
867,1165,0.549784
1495,2891,0.134910
2511,873,-0.102266
669,1,-0.219662
2896,341,-0.011483
1937,632,-0.023690
607,1838,-0.049856
1345,202,-0.160932
365,537,0.751284
1701,389,1.556873
