userID,itemID,rating
2345,468,2.965517
381,181,0.009330
2679,320,3.186170
1638,632,0.079736
1562,40,0.061114
42,180,0.245093
244,202,0.126213
2456,825,3.387500
2095,44,3.526882
516,276,0.229131
620,449,3.333333
2320,202,0.027999
521,197,3.193069
2731,22,0.035953
2026,858,3.442748
1778,9,0.020704
2039,43,0.044156
2581,52,0.105271
927,183,0.114045
1516,23,3.631579
2958,3,0.067123
2252,779,0.337882
125,1837,3.450000
34,36,0.037119
996,475,0.057334
2720,415,0.138619
2940,206,0.030999
1691,47,3.791304
722,1205,0.038688
1612,246,0.092353
1338,558,3.137195
1103,632,3.654412
2121,178,0.035311
2301,1040,0.054621
2548,693,0.207963
1716,2522,4.769231
454,44,4.007092
254,873,0.076561
120,563,0.033103
2751,9,0.003842
2598,210,0.058841
1333,1729,0.035081
2901,311,0.253226
722,382,0.025274
1439,9,0.059477
247,247,3.278261
2912,311,0.074170
2252,158,0.024312
1531,476,0.131309
2345,68,2.965517
1824,358,3.760417
521,36,0.063744
2580,1226,0.229858
2712,569,3.470588
1467,2250,0.141328
1836,36,0.028402
23,182,0.044368
2108,112,0.086330
889,40,3.714286
2708,1067,3.536765
952,206,3.894737
1519,367,0.106844
913,535,0.104166
1906,227,0.024247
1939,40,0.032986
791,854,0.056522
2013,103,0.042960
2144,181,0.088093
2356,2107,2.965909
223,915,0.337459
1749,177,3.311628
2266,133,0.032096
1782,1672,0.292033
1460,518,3.653846
2750,169,0.208751
2320,624,3.628571
2724,306,0.643987
893,317,3.632479
1201,165,3.812500
1920,89,0.163249
1732,1638,0.002369
1969,183,0.041013
885,18,0.045072
2735,309,3.841270
2027,178,0.044382
2835,14,0.001770
1906,1908,0.014322
1231,632,0.055409
1718,165,0.072195
2654,43,0.076891
531,562,0.101903
354,126,0.041108
1004,793,0.024419
1336,7,0.069750
899,124,0.059960
1700,124,0.084866
145,90,0.016151
2595,73,0.017342
2087,1181,0.157835
1883,1249,0.086482
4,71,4.180000
1175,864,2.540323
1359,53,0.003662
