userID,itemID,rating
2345,468,0.052115
381,181,3.328401
2679,320,0.285374
1638,632,0.650236
1562,40,0.489723
42,180,0.695809
244,202,0.913906
2456,825,0.354672
2095,44,1.780443
516,276,0.358603
620,449,0.011418
2320,202,3.628571
521,197,1.202979
2731,22,0.681725
2026,858,1.017571
1778,9,0.451774
2039,43,1.079578
2581,52,1.031201
927,183,0.631560
1516,23,0.900926
2958,3,0.263605
2252,779,0.604340
125,1837,3.450000
34,36,0.176276
996,475,1.134287
2720,415,0.110765
2940,206,0.616941
1691,47,0.897106
722,1205,3.292945
1612,246,3.908284
1338,558,0.086458
1103,632,1.026124
2121,178,0.212372
2301,1040,0.179120
2548,693,0.417816
1716,2522,0.007508
454,44,0.359626
254,873,0.147036
120,563,0.325781
2751,9,0.289349
2598,210,0.670660
1333,1729,0.451073
2901,311,1.036048
722,382,0.226987
1439,9,0.150929
247,247,0.870254
2912,311,1.303185
2252,158,0.756634
1531,476,0.528984
2345,68,0.764069
1824,358,0.890514
521,36,3.193069
2580,1226,0.124978
2712,569,0.438779
1467,2250,0.460548
1836,36,3.878788
23,182,3.428545
2108,112,0.577937
889,40,3.714286
2708,1067,0.972944
952,206,0.149196
1519,367,0.275948
913,535,0.426123
1906,227,3.053790
1939,40,3.778689
791,854,0.101610
2013,103,1.743942
2144,181,1.566672
2356,2107,2.965909
223,915,0.491290
1749,177,0.220948
2266,133,1.013490
1782,1672,0.415355
1460,518,1.406903
2750,169,0.540273
2320,624,0.530879
2724,306,0.246079
893,317,1.389479
1201,165,0.921214
1920,89,0.648769
1732,1638,0.155376
1969,183,3.104651
885,18,0.489590
2735,309,0.875425
2027,178,3.122832
2835,14,2.271411
1906,1908,0.235649
1231,632,3.327869
1718,165,1.514043
2654,43,0.107924
531,562,0.677323
354,126,1.371467
1004,793,0.013011
1336,7,1.400284
899,124,0.377644
1700,124,0.044779
145,90,0.858047
2595,73,0.383016
2087,1181,1.201036
1883,1249,0.784253
4,71,3.183432
1175,864,0.633335
1359,53,0.839611
480,249,0.902844
1630,14,0.604649
1150,1966,0.915906
2504,202,0.996876
2624,1224,0.037990
2188,1995,0.009987
560,1671,0.049792
373,227,0.942020
454,1009,0.186528
902,359,0.036173
2491,1046,0.111993
882,72,0.149399
2179,21,3.142857
505,5,0.067959
1680,2,3.500000
608,249,3.432432
214,127,0.077659
2510,87,0.070955
1476,7,0.865327
95,1107,0.709169
1477,10,0.131762
475,289,1.806768
25,1106,0.038209
262,1173,1.052641
146,0,0.837063
90,90,3.722222
1837,202,3.802721
1195,168,0.459553
1334,800,0.673904
1329,394,0.186120
1098,825,3.708025
2929,768,0.379964
1568,297,0.521770
1119,773,0.119432
48,279,0.250227
1338,712,0.510640
2687,72,3.524691
701,152,1.598324
2077,1054,0.334466
213,754,0.878682
867,1165,2.150001
1495,2891,0.172627
2511,873,0.196939
669,1,0.256406
2896,341,0.034369
1937,632,0.477537
607,1838,0.031097
1345,202,0.847727
365,537,0.887271
1701,389,0.777322
1230,183,0.229159
1996,1170,3.977273
1079,122,2.195560
1110,2,0.583168
218,158,1.000846
2144,305,1.456104
1058,309,0.395542
2805,5,0.297066
560,43,3.148000
2950,854,3.416667
553,20,2.611008
2541,1299,0.721697
1329,1351,0.616419
1407,183,0.519012
1306,71,0.209758
930,834,1.476589
1195,347,0.139481
1672,1165,0.117760
249,242,0.270687
2253,37,1.050494
2347,317,0.043625
171,72,0.185604
710,203,0.409304
1076,219,0.018366
2258,9,0.345402
969,518,0.217900
1653,616,0.029280
1059,781,0.414881
2252,1662,0.200800
1954,28,1.768328
2087,1966,0.515459
2191,1294,0.118537
2536,121,0.635567
247,72,3.278261
2625,255,1.110937
2013,37,1.783325
2296,932,0.253893
1329,1432,0.140993
443,2476,0.009061
2683,34,0.155047
2666,159,1.251552
2380,289,0.706242
2934,31,0.909955
297,487,0.200798
320,44,1.131465
2942,178,2.752870
338,207,0.637954
1920,2157,0.102996
2750,45,1.225085
653,498,0.129427
1052,157,0.473886
2080,549,3.309091
2465,94,0.645869
196,211,0.245894
710,159,0.370052
2229,853,0.683150
1529,206,0.212954
1970,1266,0.037566
943,129,0.010861
1906,1070,0.846416
2014,284,0.794712
1749,539,2.186281
1868,289,0.025892
312,216,2.571429
91,246,0.845980
2707,653,0.400530
532,24,1.504344
2081,988,1.569891
1091,559,0.528891
541,383,3.753846
18,672,0.705190
2671,248,0.332804
2878,1624,0.475678
2518,2616,0.002306
2460,18,0.239612
1330,1416,0.109151
1302,72,3.820312
2454,205,0.377144
1384,179,1.635145
2122,36,0.298257
2812,820,0.697415
511,387,0.292186
42,488,0.234470
2097,2041,0.928029
1731,286,0.060886
12,325,1.169993
2320,66,2.771708
12,237,0.317627
1642,706,2.087067
2003,81,0.782072
2658,2543,0.314346
1466,44,1.360589
797,296,0.556009
