userID,itemID,rating
2345,468,-0.024564
381,181,-0.007457
2679,320,0.019125
1638,632,0.128290
1562,40,0.073554
42,180,0.264576
244,202,0.133604
2456,825,-0.132004
2095,44,-0.070024
516,276,0.258457
620,449,-0.010160
2320,202,0.014268
521,197,-0.051657
2731,22,0.039250
2026,858,-0.039167
1778,9,0.030578
2039,43,0.021529
2581,52,0.064263
927,183,0.088460
1516,23,-0.014838
2958,3,0.037907
2252,779,0.315031
125,1837,-0.020178
34,36,0.052583
996,475,-0.013505
2720,415,0.103705
2940,206,0.039257
1691,47,-0.051631
722,1205,-0.052495
1612,246,0.097762
1338,558,-0.024012
1103,632,-0.170869
2121,178,0.056996
2301,1040,-0.010916
2548,693,0.161591
1716,2522,-0.003193
454,44,0.001972
254,873,0.068980
120,563,0.004315
2751,9,0.009099
2598,210,0.048080
1333,1729,0.044739
2901,311,0.175156
722,382,0.009018
1439,9,0.032190
247,247,0.006159
2912,311,-0.005029
2252,158,0.000557
1531,476,0.197375
2345,68,-0.080394
1824,358,0.009794
521,36,0.074312
2580,1226,0.336934
2712,569,-0.394796
1467,2250,0.057424
1836,36,0.050039
23,182,0.041079
2108,112,0.045551
889,40,-0.041430
2708,1067,-0.018251
952,206,0.001146
1519,367,0.156280
913,535,0.132054
1906,227,0.021484
1939,40,0.003000
791,854,0.021138
2013,103,0.032407
2144,181,0.099802
2356,2107,-0.004153
223,915,0.247784
1749,177,-0.044887
2266,133,0.015528
1782,1672,0.231190
1460,518,0.015724
2750,169,0.002499
2320,624,-0.069470
2724,306,0.566598
893,317,0.018597
1201,165,-0.020285
1920,89,-0.006765
1732,1638,0.017520
1969,183,-0.030524
885,18,0.025870
2735,309,-0.065461
2027,178,0.028247
2835,14,0.048775
1906,1908,0.030860
1231,632,0.030093
1718,165,0.092362
2654,43,0.070950
531,562,-0.041767
354,126,0.096673
1004,793,0.044157
1336,7,0.072095
899,124,0.037128
1700,124,-0.001916
145,90,0.016105
2595,73,0.007920
2087,1181,0.130844
1883,1249,0.204413
4,71,-0.004379
1175,864,0.044501
1359,53,0.004843
480,249,0.005766
1630,14,-0.019263
1150,1966,-0.065897
2504,202,0.002641
2624,1224,0.063451
2188,1995,-0.019746
560,1671,0.255979
373,227,-0.018357
454,1009,0.071156
902,359,0.022255
2491,1046,-0.071657
882,72,-0.001913
2179,21,0.074804
505,5,0.059854
1680,2,0.023212
608,249,0.024902
214,127,-0.192825
2510,87,0.139075
1476,7,-0.054087
95,1107,0.058319
1477,10,0.021221
475,289,0.020497
25,1106,0.000894
262,1173,-0.220996
146,0,-0.017347
90,90,0.106618
1837,202,0.111387
1195,168,0.002538
1334,800,-0.436137
1329,394,0.051144
1098,825,0.015312
2929,768,0.027165
1568,297,0.149243
1119,773,-0.053239
48,279,-0.084766
1338,712,0.172330
2687,72,0.120946
701,152,-0.073856
2077,1054,-0.049048
213,754,0.214399
867,1165,0.014097
1495,2891,-0.024671
2511,873,-0.033767
669,1,0.009274
2896,341,-0.131396
1937,632,0.073786
607,1838,-0.033841
1345,202,0.032146
365,537,-0.256261
1701,389,0.269258
1230,183,0.065115
1996,1170,-0.212315
1079,122,0.081287
1110,2,0.027668
218,158,0.123140
2144,305,0.002911
1058,309,0.211968
2805,5,0.025539
560,43,0.082627
2950,854,-0.049370
553,20,0.049914
2541,1299,0.051771
1329,1351,-0.015623
1407,183,0.029762
1306,71,0.059954
930,834,0.054296
1195,347,-0.000450
1672,1165,0.273170
249,242,0.290180
2253,37,0.049915
2347,317,0.122349
171,72,0.080668
710,203,0.057298
1076,219,0.119874
2258,9,0.053771
969,518,0.033379
1653,616,0.238700
1059,781,0.065593
2252,1662,0.306330
1954,28,0.021267
2087,1966,0.046135
2191,1294,-0.070482
2536,121,0.053372
247,72,0.092655
2625,255,-0.017426
2013,37,0.035582
2296,932,-0.196052
1329,1432,0.060864
443,2476,0.074083
2683,34,0.039374
2666,159,0.092395
2380,289,0.018397
2934,31,-0.010078
297,487,0.190571
320,44,0.082322
2942,178,-0.035026
338,207,0.066812
1920,2157,0.144898
2750,45,-0.027843
653,498,-0.112078
1052,157,-0.062495
2080,549,-0.029267
2465,94,0.014767
196,211,0.278784
710,159,0.024889
2229,853,0.014947
1529,206,0.052889
1970,1266,0.039769
943,129,0.303427
1906,1070,-0.028410
2014,284,-0.159739
1749,539,0.078676
1868,289,0.046858
312,216,-0.048537
91,246,-0.037112
2707,653,-0.235344
532,24,0.040971
2081,988,0.087781
1091,559,0.015416
541,383,0.179750
18,672,-0.114712
2671,248,-0.087235
2878,1624,-0.138946
2518,2616,0.017645
2460,18,-0.004157
1330,1416,0.035390
1302,72,0.111749
2454,205,-0.226176
1384,179,0.098079
2122,36,0.051494
2812,820,0.113785
511,387,0.030515
42,488,0.060779
2097,2041,0.216005
1731,286,0.225380
12,325,0.231384
2320,66,-0.030837
12,237,0.035960
1642,706,-0.036223
2003,81,-0.141342
2658,2543,0.048569
1466,44,0.091717
797,296,0.009105
899,287,0.043890
2896,6,0.007744
819,4,0.061692
1581,178,0.166509
2771,529,0.055905
98,502,0.020885
33,843,0.379750
235,1072,0.257986
93,54,-0.080044
1821,154,0.175304
978,314,-0.153410
2472,706,0.087707
1345,1610,0.030599
661,115,0.074632
1763,93,-0.060103
426,1224,0.223242
1635,249,-0.064074
1476,793,0.272575
1748,527,0.199191
225,675,-0.110402
1485,80,0.213913
549,865,0.045351
655,37,0.098631
1330,754,0.113709
1970,1719,0.165440
1090,1404,0.086763
1344,553,0.049147
2826,1673,0.336474
147,43,0.023570
483,122,0.065859
2586,1115,0.094562
1527,26,0.008254
2606,260,-0.031773
1977,269,-0.048468
1166,11,-0.021698
2353,126,0.084936
122,36,0.054371
465,31,0.096669
521,1231,-0.011567
2436,440,0.094551
797,1704,0.042564
1076,97,-0.049105
1150,1089,0.163165
2565,1071,-0.042972
910,0,0.053866
2820,67,-0.066930
1852,72,0.035008
1175,537,-0.059534
910,42,-0.005010
655,1216,-0.073694
556,43,0.073358
718,240,0.046810
1157,10,0.057522
262,351,-0.038740
145,739,0.176922
514,2361,0.273670
1817,24,-0.018336
632,121,-0.089534
454,754,-0.110350
521,191,0.005531
783,280,0.038250
310,2171,0.362699
2196,800,0.156786
1688,576,0.720394
516,2019,0.151662
2634,502,0.096363
254,40,0.055554
340,249,0.030810
997,1212,0.066955
1837,1130,0.006352
737,160,-0.266805
834,5,-0.005592
2912,657,0.309376
1432,121,0.128257
1091,2769,0.006764
901,72,0.015117
676,260,0.046144
429,94,-0.047022
1644,418,0.040091
997,3096,-0.015839
15,14,0.081343
961,6,0.019210
1412,2167,0.047391
496,181,-0.113407
1676,416,0.022664
2712,257,0.022083
1651,769,0.134239
122,523,0.276832
2747,211,0.066353
1261,1453,0.067428
953,1919,0.288544
1942,106,0.161028
2192,71,0.076371
2392,191,-0.203446
2779,216,0.073066
845,1144,0.089700
1918,37,-0.038433
997,2469,-0.015980
669,88,0.054272
2748,7,0.058051
221,391,0.016023
145,136,0.280402
479,206,-0.007469
2959,388,-0.026247
710,399,0.006576
856,675,0.223134
732,123,-0.147782
2543,1626,-0.138934
772,209,0.014470
938,1202,0.135801
2534,1298,0.077885
283,618,-0.062948
549,888,0.130655
2200,671,-0.021156
2514,157,0.102354
1046,1077,-0.001042
1473,549,0.101736
1551,81,-0.106582
1091,3184,0.000040
2077,794,0.132856
1546,378,0.076288
2013,1366,0.084220
2468,250,0.144777
429,281,0.018206
444,280,0.132283
2454,272,0.065281
1121,3,0.118078
1742,115,-0.015848
922,71,0.008496
2935,2168,0.091926
192,73,0.079418
2688,151,0.086806
2704,63,-0.024505
2679,3866,0.117766
2920,1214,-0.049797
945,20,0.021879
1058,249,0.057878
1537,169,-0.171869
2479,126,0.054426
1533,126,-0.020469
15,517,0.052154
2536,1399,0.107123
2718,702,0.032570
332,924,-0.014838
1315,537,0.270588
15,79,-0.112541
611,110,0.050512
2078,358,-0.089088
1900,183,0.068267
2132,2139,0.254622
922,2660,0.013810
1649,378,0.011917
2869,311,0.028268
454,213,-0.032953
2959,3379,0.008690
93,1255,-0.151725
770,46,0.083547
663,227,0.132294
2592,257,-0.238266
1400,53,0.018320
2688,1903,-0.107878
1350,1704,-0.272538
1949,932,0.055977
2366,347,0.057713
1460,932,-0.094200
1816,75,-0.070814
1341,1618,-0.047283
1236,26,0.060888
2892,20,0.023011
2046,549,-0.041352
2128,1750,0.327378
2592,53,0.038996
1824,260,-0.000848
246,245,0.281967
1368,416,-0.049098
1252,174,-0.078440
618,2703,-0.006383
997,172,-0.089365
