userID,itemID,rating
2345,468,0.000017
381,181,0.000008
2679,320,0.000039
1638,632,0.000004
1562,40,0.000005
42,180,0.000003
244,202,0.000010
2456,825,0.000017
2095,44,0.000020
516,276,0.000058
620,449,0.000020
2320,202,0.000024
521,197,0.000083
2731,22,0.000002
2026,858,0.000030
1778,9,0.000032
2039,43,0.000011
2581,52,0.000008
927,183,0.000003
1516,23,0.000004
2958,3,0.000016
2252,779,0.000027
125,1837,0.000002
34,36,0.000021
996,475,0.000016
2720,415,0.000006
2940,206,0.000003
1691,47,0.000026
722,1205,0.000071
1612,246,0.000042
1338,558,0.000032
1103,632,0.000015
2121,178,0.000003
2301,1040,0.000028
2548,693,0.000052
1716,2522,0.000004
454,44,0.000034
254,873,0.000006
120,563,0.000009
2751,9,0.000003
2598,210,0.000003
1333,1729,0.000048
2901,311,0.000028
722,382,0.000072
1439,9,0.000019
247,247,0.000024
2912,311,0.000050
2252,158,0.000028
1531,476,0.000036
2345,68,0.000016
1824,358,0.000022
521,36,0.000081
2580,1226,0.000012
2712,569,0.000027
1467,2250,0.000031
1836,36,0.000008
23,182,0.000011
2108,112,0.000039
889,40,0.000006
2708,1067,0.000031
952,206,0.000004
1519,367,0.000023
913,535,0.000022
1906,227,0.000081
1939,40,0.000014
791,854,0.000002
2013,103,0.000064
2144,181,0.000044
2356,2107,0.000018
223,915,0.000029
1749,177,0.000044
2266,133,0.000002
1782,1672,0.000012
1460,518,0.000057
2750,169,0.000026
2320,624,0.000023
2724,306,0.000005
893,317,0.000026
1201,165,0.000005
1920,89,0.000022
1732,1638,0.000026
1969,183,0.000039
885,18,0.000010
2735,309,0.000015
2027,178,0.000067
2835,14,0.000048
1906,1908,0.000083
1231,632,0.000013
1718,165,0.000035
2654,43,0.000002
531,562,0.000017
354,126,0.000010
1004,793,0.000005
1336,7,0.000001
899,124,0.000030
1700,124,0.000021
145,90,0.000016
2595,73,0.000003
2087,1181,0.000065
1883,1249,0.000008
4,71,0.000018
1175,864,0.000019
1359,53,0.000098
480,249,0.000016
1630,14,0.000003
1150,1966,0.000085
2504,202,0.000007
2624,1224,0.000001
2188,1995,0.000042
560,1671,0.000026
373,227,0.000005
454,1009,0.000037
902,359,0.000003
2491,1046,0.000010
882,72,0.000015
2179,21,0.000003
505,5,0.000002
1680,2,0.000002
608,249,0.000007
214,127,0.000004
2510,87,0.000037
1476,7,0.000011
95,1107,0.000017
1477,10,0.000002
475,289,0.000010
25,1106,0.000019
262,1173,0.000024
146,0,0.000004
90,90,0.000012
1837,202,0.000032
1195,168,0.000003
1334,800,0.000009
1329,394,0.000116
1098,825,0.000196
2929,768,0.000049
1568,297,0.000027
1119,773,0.000003
48,279,0.000006
1338,712,0.000033
2687,72,0.000051
701,152,0.000029
2077,1054,0.000076
213,754,0.000035
867,1165,0.000061
1495,2891,0.000023
2511,873,0.000002
