userID,itemID,rating
2345,468,0.0
381,181,4.2
2679,320,2.9
1638,632,3.4
1562,40,3.5
42,180,4.5
244,202,3.9
2456,825,2.4
2095,44,4.1
516,276,2.0
620,449,0.0
2320,202,4.1
521,197,3.7
2731,22,3.0
2026,858,3.0
1778,9,3.0
2039,43,3.3
2581,52,3.7
927,183,3.8
1516,23,3.7
2958,3,4.0
2252,779,3.3
125,1837,0.0
34,36,3.5
996,475,3.9
2720,415,3.5
2940,206,4.4
1691,47,3.7
722,1205,3.7
1612,246,3.3
1338,558,3.2
1103,632,4.1
2121,178,4.0
2301,1040,0.0
2548,693,3.1
1716,2522,4.9
454,44,4.8
254,873,0.0
120,563,3.0
2751,9,3.2
2598,210,4.0
1333,1729,3.5
2901,311,3.5
722,382,0.0
1439,9,2.6
247,247,4.1
2912,311,3.4
2252,158,3.6
1531,476,1.0
2345,68,2.4
1824,358,4.4
521,36,3.5
2580,1226,3.8
2712,569,1.7
1467,2250,4.3
1836,36,4.3
23,182,4.1
2108,112,2.7
889,40,3.5
2708,1067,4.4
952,206,5.0
1519,367,4.0
913,535,2.7
1906,227,2.5
1939,40,3.5
791,854,4.3
2013,103,3.7
2144,181,4.7
2356,2107,0.0
223,915,3.6
1749,177,3.0
2266,133,3.3
1782,1672,2.5
1460,518,4.2
2750,169,3.7
2320,624,3.5
2724,306,3.9
893,317,3.6
1201,165,3.8
1920,89,3.2
1732,1638,3.0
1969,183,3.5
885,18,4.6
2735,309,4.3
2027,178,4.0
2835,14,3.7
1906,1908,2.7
1231,632,1.8
1718,165,3.5
2654,43,4.2
531,562,4.8
354,126,4.5
1004,793,0.0
1336,7,3.6
899,124,0.0
1700,124,2.3
145,90,4.0
2595,73,3.7
2087,1181,2.7
1883,1249,3.9
4,71,4.2
1175,864,2.3
1359,53,3.0
480,249,3.7
1630,14,3.9
1150,1966,3.8
2504,202,3.8
2624,1224,4.0
2188,1995,3.7
560,1671,0.0
373,227,4.2
454,1009,0.0
902,359,0.0
2491,1046,0.0
882,72,4.3
2179,21,0.0
505,5,4.2
1680,2,3.7
608,249,4.2
214,127,0.0
2510,87,0.0
1476,7,3.5
95,1107,4.0
1477,10,4.0
475,289,3.9
25,1106,0.0
262,1173,3.4
146,0,3.8
90,90,3.9
1837,202,4.2
1195,168,3.0
1334,800,3.7
1329,394,3.4
1098,825,4.4
2929,768,0.0
1568,297,2.7
1119,773,3.0
48,279,4.0
1338,712,2.0
2687,72,4.2
701,152,2.9
2077,1054,2.0
213,754,4.1
867,1165,3.6
1495,2891,0.0
2511,873,0.0
669,1,3.5
2896,341,0.0
1937,632,5.0
607,1838,0.0
1345,202,3.4
365,537,3.6
1701,389,4.5
1230,183,3.3
1996,1170,1.5
1079,122,3.2
1110,2,4.5
218,158,3.3
2144,305,3.3
1058,309,4.8
2805,5,3.7
560,43,3.0
2950,854,3.5
553,20,3.7
2541,1299,4.2
1329,1351,3.5
1407,183,3.8
1306,71,3.5
930,834,3.3
1195,347,4.0
1672,1165,3.8
249,242,3.0
2253,37,3.4
2347,317,0.0
171,72,4.4
710,203,3.9
1076,219,4.1
2258,9,3.0
969,518,4.0
1653,616,0.0
1059,781,2.3
2252,1662,3.0
1954,28,3.9
2087,1966,3.0
2191,1294,2.3
2536,121,3.0
247,72,3.2
2625,255,3.6
2013,37,3.8
2296,932,3.0
1329,1432,2.4
443,2476,3.2
2683,34,0.0
2666,159,2.7
2380,289,3.5
2934,31,3.3
297,487,3.0
320,44,4.2
2942,178,3.6
338,207,3.4
1920,2157,1.0
2750,45,3.2
653,498,0.0
1052,157,3.1
2080,549,3.8
2465,94,4.3
196,211,3.5
710,159,4.3
2229,853,4.0
1529,206,4.4
1970,1266,0.0
943,129,4.0
1906,1070,4.5
2014,284,4.0
1749,539,3.4
1868,289,3.1
312,216,0.0
91,246,3.5
2707,653,3.5
532,24,3.1
2081,988,3.2
1091,559,4.2
541,383,0.0
18,672,2.9
2671,248,3.5
2878,1624,0.0
2518,2616,0.0
2460,18,3.9
1330,1416,0.0
1302,72,4.1
2454,205,4.0
1384,179,3.3
2122,36,2.8
2812,820,4.0
511,387,3.9
42,488,4.5
2097,2041,4.3
1731,286,3.0
12,325,3.3
2320,66,3.7
12,237,2.6
1642,706,3.9
2003,81,2.9
2658,2543,3.3
1466,44,4.1
797,296,2.6
899,287,4.0
2896,6,0.0
819,4,4.1
1581,178,3.9
2771,529,0.0
98,502,3.0
33,843,5.0
235,1072,3.5
93,54,3.5
1821,154,3.8
978,314,2.7
2472,706,3.5
1345,1610,1.0
661,115,2.8
1763,93,3.5
426,1224,3.5
1635,249,2.9
1476,793,2.5
1748,527,4.0
225,675,0.0
1485,80,3.0
549,865,4.0
655,37,2.7
1330,754,3.1
1970,1719,4.0
1090,1404,0.0
1344,553,3.0
2826,1673,4.3
147,43,3.6
483,122,4.4
2586,1115,3.5
1527,26,4.0
2606,260,4.5
1977,269,0.0
1166,11,0.0
2353,126,3.2
122,36,3.7
465,31,2.0
521,1231,4.3
2436,440,3.7
797,1704,2.9
1076,97,3.8
1150,1089,3.4
