userID,itemID,rating
2345,468,-0.6946
381,181,1.8902
2679,320,0.3327
1638,632,-1.0447
1562,40,-0.1644
42,180,1.6863
244,202,1.2816
2456,825,0.0640
2095,44,1.7342
516,276,-0.3844
620,449,-0.0075
2320,202,0.5741
521,197,-0.1853
2731,22,-0.2105
2026,858,1.6388
1778,9,2.4346
2039,43,1.2455
2581,52,0.9321
927,183,1.7519
1516,23,0.8738
2958,3,-0.2357
2252,779,0.5755
125,1837,-0.2697
34,36,1.5995
996,475,1.7123
2720,415,-0.4877
2940,206,0.7686
1691,47,1.5457
722,1205,-0.2558
1612,246,1.0981
1338,558,0.9724
1103,632,1.0646
2121,178,-0.3090
2301,1040,-0.5442
2548,693,0.4037
1716,2522,0.7039
454,44,0.9498
254,873,-0.3487
120,563,-0.2268
2751,9,0.6633
2598,210,0.9213
1333,1729,-0.2024
2901,311,1.0435
722,382,0.0389
1439,9,1.6876
247,247,0.4234
2912,311,1.7118
2252,158,1.1531
1531,476,0.5437
2345,68,0.5474
1824,358,0.2496
521,36,0.3859
2580,1226,-0.4730
2712,569,0.1305
1467,2250,0.1181
1836,36,0.1745
23,182,2.2137
2108,112,0.1005
889,40,0.5559
2708,1067,0.5277
952,206,0.5163
1519,367,0.3205
913,535,-0.1007
1906,227,0.7441
1939,40,0.7454
791,854,0.5808
2013,103,0.8182
2144,181,2.7892
2356,2107,-0.6603
223,915,1.5967
1749,177,0.0874
2266,133,0.4894
1782,1672,-0.3815
1460,518,0.3024
2750,169,-0.1248
2320,624,1.4137
2724,306,0.3935
893,317,0.9491
1201,165,0.5792
1920,89,-0.0994
1732,1638,-0.3028
1969,183,1.8032
885,18,0.4047
2735,309,1.4437
2027,178,1.0055
2835,14,2.2119
1906,1908,0.0081
1231,632,0.2118
1718,165,1.3140
2654,43,2.4750
531,562,1.2459
354,126,1.6416
1004,793,0.2177
1336,7,0.7948
899,124,0.8841
1700,124,-0.3860
145,90,2.6877
2595,73,2.1903
2087,1181,0.4288
1883,1249,0.6930
4,71,2.0298
1175,864,-0.2843
1359,53,0.7320
480,249,0.9434
1630,14,0.4773
1150,1966,0.8421
2504,202,2.7778
2624,1224,0.2930
2188,1995,-0.0934
560,1671,-0.1895
373,227,1.4342
454,1009,0.6688
902,359,0.3907
2491,1046,0.6380
882,72,0.9714
2179,21,-0.4175
505,5,2.3683
1680,2,-0.0333
608,249,1.3774
214,127,-0.1473
2510,87,0.2827
1476,7,1.5093
95,1107,0.4570
1477,10,0.7486
475,289,0.0755
25,1106,-0.4065
262,1173,0.0729
146,0,0.2133
90,90,0.1578
1837,202,1.7958
1195,168,-0.1524
1334,800,-0.3666
1329,394,0.2863
1098,825,1.4709
2929,768,0.4835
1568,297,-0.0604
1119,773,-0.4170
48,279,-0.1505
1338,712,-0.0732
2687,72,2.1926
701,152,0.4143
2077,1054,-0.0303
213,754,0.9543
867,1165,1.8580
1495,2891,-0.1068
2511,873,-0.3423
669,1,1.3304
2896,341,-0.5487
1937,632,1.0145
607,1838,-0.7231
1345,202,1.9873
365,537,-0.1441
1701,389,0.2492
1230,183,0.2807
1996,1170,0.3316
1079,122,2.5271
1110,2,1.4247
218,158,0.7664
2144,305,1.0982
1058,309,1.5188
2805,5,0.5231
560,43,1.6164
2950,854,0.0514
553,20,1.9463
2541,1299,0.2766
1329,1351,0.7427
1407,183,1.1739
1306,71,0.7463
930,834,2.3540
1195,347,-0.5043
1672,1165,0.8457
249,242,0.1152
2253,37,1.4721
2347,317,-0.6045
171,72,0.4696
710,203,2.7289
1076,219,0.1390
2258,9,0.7663
969,518,0.3086
1653,616,-0.1381
1059,781,-0.7378
2252,1662,0.4516
1954,28,0.6333
2087,1966,-0.0860
2191,1294,0.0602
2536,121,-0.2249
247,72,0.1207
2625,255,0.5302
2013,37,0.9305
2296,932,-0.1240
1329,1432,0.2052
443,2476,-0.1743
2683,34,0.1381
2666,159,1.5024
2380,289,0.8465
2934,31,1.3112
297,487,0.5465
320,44,1.5558
2942,178,1.6495
338,207,0.2901
1920,2157,-0.7868
2750,45,1.1750
653,498,-0.0120
1052,157,0.0455
2080,549,1.0240
2465,94,0.9446
196,211,-0.4681
710,159,1.4644
2229,853,1.8451
1529,206,2.2363
1970,1266,0.5096
943,129,0.1722
1906,1070,0.3059
2014,284,1.8302
1749,539,0.3767
1868,289,-0.0703
312,216,-1.3781
91,246,1.6610
2707,653,0.6442
532,24,-0.1095
2081,988,0.3393
1091,559,2.0271
541,383,0.0031
18,672,0.1974
2671,248,-0.2525
2878,1624,-0.6672
2518,2616,-0.2046
2460,18,0.4778
1330,1416,-0.1463
1302,72,2.2161
2454,205,-0.1846
1384,179,-0.0454
2122,36,2.1008
2812,820,0.3674
511,387,0.5767
42,488,0.4338
2097,2041,0.5339
1731,286,0.1584
12,325,-0.7544
2320,66,2.1946
12,237,-0.7544
1642,706,2.0472
2003,81,-0.6224
2658,2543,-0.2310
1466,44,0.2695
797,296,0.1517
899,287,0.5563
2896,6,-0.5487
819,4,0.0950
1581,178,0.9050
2771,529,-0.0502
98,502,1.8002
33,843,-0.1645
235,1072,0.1112
93,54,1.0923
1821,154,-0.2555
978,314,-0.2239
2472,706,-0.0010
1345,1610,-0.1099
661,115,0.1892
1763,93,0.5304
426,1224,0.5247
1635,249,2.2404
1476,793,0.5805
1748,527,-0.1110
225,675,0.1042
1485,80,0.4162
549,865,1.1323
655,37,0.5530
1330,754,1.1204
1970,1719,0.5096
1090,1404,-0.2068
1344,553,0.0033
2826,1673,-0.2748
147,43,1.0283
483,122,0.9655
2586,1115,-0.4089
1527,26,0.9561
2606,260,0.6712
1977,269,-0.6211
1166,11,0.4398
2353,126,2.4849
122,36,2.0161
465,31,0.2188
521,1231,-0.1853
2436,440,0.5181
797,1704,0.1517
1076,97,0.4623
1150,1089,1.1590
2565,1071,1.1142
910,0,0.2125
2820,67,1.4231
1852,72,0.1907
1175,537,0.1025
910,42,0.5919
655,1216,-0.4438
556,43,1.4646
718,240,0.1153
1157,10,0.7851
262,351,0.8844
145,739,0.2979
514,2361,-0.5997
1817,24,1.2700
632,121,1.4014
454,754,0.9803
521,191,0.1746
783,280,0.8955
310,2171,0.6064
2196,800,0.5432
1688,576,-0.8287
516,2019,-0.1011
2634,502,1.4666
254,40,-0.0065
340,249,-0.3365
997,1212,0.6293
1837,1130,0.5311
737,160,0.6646
834,5,0.8937
2912,657,0.2948
1432,121,0.8984
1091,2769,0.9152
901,72,0.5956
676,260,2.7052
429,94,2.4238
1644,418,0.5929
997,3096,0.2767
15,14,1.5796
961,6,2.9023
1412,2167,-0.5574
496,181,0.3828
1676,416,0.1767
2712,257,0.3882
1651,769,-0.0892
122,523,0.4290
2747,211,-0.3566
1261,1453,0.5433
953,1919,0.9756
1942,106,0.5066
2192,71,0.1268
2392,191,0.5104
2779,216,1.6891
845,1144,0.4266
1918,37,1.8252
997,2469,0.2767
669,88,1.5704
2748,7,1.0495
221,391,0.8560
145,136,1.1926
479,206,2.0829
2959,388,0.2828
710,399,0.9462
856,675,-0.3087
732,123,1.0606
2543,1626,-0.4524
772,209,-0.3600
938,1202,-0.2277
2534,1298,-0.4426
283,618,-0.4712
549,888,0.8929
2200,671,-0.8419
2514,157,1.6337
1046,1077,-0.5945
1473,549,0.1880
1551,81,0.6393
1091,3184,0.9152
2077,794,-0.1589
1546,378,-0.4140
2013,1366,0.9810
2468,250,0.7453
429,281,0.2959
444,280,1.7744
2454,272,-0.1846
1121,3,1.8169
1742,115,0.5069
922,71,1.0881
2935,2168,-0.2224
192,73,1.9258
2688,151,0.2109
2704,63,0.8773
2679,3866,-0.2545
2920,1214,-0.8700
945,20,1.2386
1058,249,2.9832
1537,169,0.1482
2479,126,2.8195
1533,126,1.4901
15,517,-0.7172
2536,1399,-0.5136
2718,702,0.7641
332,924,1.2162
1315,537,-0.0281
15,79,-0.9132
611,110,0.9907
2078,358,2.3729
1900,183,0.0860
2132,2139,-0.5438
922,2660,-0.0218
1649,378,0.6180
2869,311,-1.2000
454,213,1.4760
2959,3379,-0.1635
93,1255,-0.3940
770,46,0.8583
663,227,0.9474
2592,257,0.9281
1400,53,-0.0038
2688,1903,-0.1771
1350,1704,0.0247
1949,932,-0.0241
2366,347,0.4881
1460,932,1.2026
1816,75,0.5836
1341,1618,-0.7098
1236,26,0.6001
2892,20,-0.0475
2046,549,2.7047
2128,1750,0.0975
2592,53,2.7743
1824,260,1.8264
246,245,0.2312
1368,416,-0.2675
1252,174,0.4862
618,2703,0.1452
997,172,1.3127
1503,174,2.5506
1273,1193,0.1078
1436,616,-1.2899
2078,68,0.7890
54,528,0.0760
1485,105,3.0120
2448,121,3.0738
2948,247,0.3745
580,2432,-0.3105
913,825,1.3590
1659,43,0.6817
2400,1940,-0.2060
197,6,1.4754
1947,1201,-0.3432
511,1712,0.7834
2911,50,0.6772
2429,1832,0.1764
1873,416,0.3538
402,455,0.1322
437,105,0.4625
1778,45,0.4776
2080,1281,1.1270
1661,72,2.2670
2034,67,-0.9332
511,388,1.3526
1592,1834,-0.2862
363,94,0.8924
1816,43,0.7964
1624,160,0.4723
710,746,1.2257
1554,166,1.1132
2644,310,-0.5194
42,801,0.4338
56,72,2.2463
974,881,-0.4513
2658,189,-0.2310
1052,864,0.1420
2027,44,1.3871
1475,58,-0.8109
2320,240,2.6742
2622,24,0.7296
511,1193,0.6432
1371,43,1.7013
886,183,2.0908
1467,382,0.1181
654,225,0.6799
1359,413,0.8339
1136,40,2.5559
233,2041,0.4741
2040,266,0.3347
37,302,0.9204
317,376,0.4373
1900,182,1.8572
2097,1247,1.3567
1577,2517,-0.6713
1621,1094,-0.5314
669,183,3.7343
2926,300,0.2997
754,535,-0.2822
2729,43,0.5680
1378,61,-0.0609
354,1084,0.3754
2666,68,0.5265
2851,37,1.9269
1892,5,1.0835
350,97,0.8839
824,633,-0.3259
2708,461,0.0423
1103,71,1.2533
1343,2,1.8273
1801,6,0.6004
2704,19,1.6951
2122,311,1.1811
2777,419,0.1464
1754,161,0.3653
1512,254,0.1860
1605,1926,0.5561
516,416,1.1289
1572,19,0.9394
2433,626,0.6675
2653,825,-0.2331
2804,178,1.0427
2081,1185,-0.0007
2954,50,1.8843
996,12,2.1663
1170,209,-0.3087
2579,1113,1.1710
432,2145,0.6086
859,1271,0.3024
402,441,0.0252
1225,834,0.7098
1231,69,1.6228
1097,2376,-0.7237
2297,73,0.7416
2747,49,-0.3566
2008,148,-0.0993
1097,250,1.1036
2338,653,1.1253
1369,1673,0.0079
938,192,0.2399
976,43,1.8903
1718,3114,-0.2600
1445,186,0.1169
1276,248,-0.2034
1351,148,1.2795
521,1206,-0.1853
1778,247,-0.0214
2489,767,0.2290
81,18,1.0975
472,40,0.2104
1667,418,0.7763
2027,2380,-0.3879
332,105,2.7383
1098,2125,0.6310
1171,358,-0.0113
620,831,1.0452
1928,320,-0.1271
1253,1231,1.2342
1545,244,2.1608
2850,297,0.3536
710,1215,1.2677
2543,53,0.3311
935,1137,0.9493
144,2,2.6912
1670,1761,-0.0374
2625,1899,0.6455
2625,2945,-0.0830
1906,23,0.1068
2317,577,1.6347
390,834,0.8994
2063,309,0.6517
1302,220,1.1821
2361,19,-0.1343
1350,60,0.4051
935,1297,-0.3472
1423,90,2.3660
399,2402,-0.3923
1351,125,0.4266
935,179,1.2274
1520,166,1.3913
2625,117,0.2006
1492,172,0.3982
2572,15,0.3795
1617,1077,0.0496
1092,767,1.3766
496,853,1.3622
2003,90,0.4590
227,37,0.7974
129,9,0.7084
560,131,0.8714
2912,315,2.2343
1330,1190,0.1533
1759,289,1.1301
2812,1165,1.5121
830,36,2.3744
390,1184,0.2001
1749,672,0.9136
1317,1295,1.8552
1586,71,0.1652
620,623,2.3064
387,1167,-0.6263
606,2170,1.1569
222,260,0.8989
571,2,1.4040
2365,43,1.3428
1022,798,0.0021
2247,5,0.9051
1790,2229,0.4061
460,45,1.9520
1088,881,0.6666
2481,1406,-0.0855
2563,510,0.5864
1427,1663,-0.3007
332,2302,0.7527
2750,187,3.1420
1732,2661,0.5349
2343,36,1.6050
2515,854,0.4939
1863,661,0.8117
1414,210,0.7464
1831,2,-0.0689
509,5,3.0582
1851,354,1.1436
2027,204,1.1350
1942,3230,-0.3029
938,3049,-0.2277
1139,666,0.1729
871,10,0.8840
934,1034,-0.1592
425,92,-1.3392
78,180,-0.8382
2646,128,-0.0114
708,1065,0.7205
1150,873,0.7247
2529,63,1.0603
134,281,0.4358
2565,268,3.2410
1960,28,0.4275
1338,10,2.5250
956,264,-0.5174
803,292,-0.7665
2037,14,0.5702
1837,240,0.8663
983,272,-0.2665
1359,361,-0.9912
618,1151,0.1452
41,1256,0.1733
2053,520,0.1766
350,7,0.5822
37,103,1.3987
2626,791,-0.1317
2077,2017,-0.3667
1969,1088,-0.2535
2432,458,0.6155
1778,1634,-0.4640
1052,298,1.2621
2873,1,-0.3679
122,90,2.2659
2108,1461,-0.5327
560,174,2.4234
1942,1,2.2715
429,515,0.4553
2683,31,-0.2399
218,37,0.3082
692,389,0.1841
1825,1368,0.8815
2039,2758,0.2771
2169,418,2.5680
2059,256,1.1624
393,529,0.1545
1091,1036,0.9152
106,463,0.9802
2063,1987,-0.2948
1335,7,2.0083
1098,655,2.4621
1839,51,0.4292
592,637,-0.0445
1150,3012,0.1067
2327,804,0.2750
710,976,0.8959
1772,203,0.4057
332,1570,1.0921
1333,529,-0.2024
1624,315,1.7370
2658,1601,0.0620
199,216,1.6756
663,232,0.1309
331,845,-0.2926
55,86,-0.0675
2095,1091,-0.1149
1098,3317,0.2633
2188,2728,-0.0934
694,202,-0.0924
194,94,0.3015
2104,43,1.3154
2325,129,0.6100
886,623,1.7170
1503,126,3.1290
676,309,0.9873
1605,60,0.9268
1699,223,-0.4436
718,1400,-0.3404
1353,2358,0.5911
2144,908,1.7686
722,1335,1.1129
2562,164,0.6901
2037,314,-0.3911
1019,26,0.3729
2919,92,0.0753
1833,114,0.8456
1415,781,0.5520
2831,769,0.4166
911,1077,0.7337
587,1460,-0.8176
681,556,0.7517
2118,206,3.4348
2126,5,2.6591
2515,838,-0.3861
1460,82,0.9128
1225,842,-0.7794
1425,1252,-0.4050
653,6,-0.0120
519,2621,-0.4060
1568,709,-0.8148
2914,247,0.7334
567,1331,-0.0437
15,164,0.3129
1930,65,1.2398
486,289,1.7426
1329,515,0.9235
533,89,0.6847
2208,148,1.9135
2242,395,0.3370
68,190,1.1033
79,144,1.3503
2666,884,0.0024
431,260,1.5058
710,2776,0.5795
1520,123,1.3030
53,847,-0.3799
1485,112,0.3265
2603,42,0.8030
93,25,0.0022
2469,445,-0.5774
1098,761,0.4820
578,187,0.7704
1792,216,-0.5384
2095,24,1.2907
1163,1716,0.2805
1526,629,-0.2757
1091,971,1.1994
1139,300,1.3498
2720,72,1.5114
1369,2128,0.0079
2507,37,1.3585
1919,7,0.2160
1164,72,0.8221
821,289,1.1028
1942,1643,-0.3029
1832,2,0.2079
2512,312,0.1845
1091,1988,1.2062
1084,1350,0.3928
2648,653,0.3686
2852,131,0.7036
445,632,1.0070
907,256,1.1423
1091,191,1.6256
1298,1426,0.2832
1338,284,0.2116
795,168,1.1836
359,257,0.2182
1358,5,1.7334
1787,865,0.3334
511,200,1.1196
1139,296,0.9168
1333,329,-0.2024
1688,115,-0.8390
1011,72,3.4084
1851,1114,0.6570
292,254,0.3447
900,297,2.4249
1663,202,2.2002
1956,194,0.5462
486,473,-0.0007
1263,298,0.5451
483,419,0.9726
692,148,1.1179
2958,2,1.2988
516,156,-0.0776
2580,1108,-0.4730
1568,109,0.0831
1467,364,0.1181
893,797,0.2799
2322,126,2.3229
1740,37,0.2587
56,86,0.8859
1992,1583,-0.0372
2479,111,3.3651
1469,93,0.8398
1612,389,1.2412
2852,48,-0.0940
2797,216,1.4670
2875,1748,0.9013
459,1369,1.5692
2437,820,-0.0795
2027,418,0.8429
56,324,0.8530
1718,9,3.0795
1106,105,0.1714
1157,653,-0.1239
41,781,0.8052
1098,1236,1.5935
1470,62,-0.0672
2735,289,2.1257
2925,23,2.2844
2108,128,0.8213
2878,1458,0.0800
1940,961,0.7513
676,2129,0.4007
1157,210,2.6357
893,8,0.5629
1779,183,0.8269
2625,159,0.2006
2825,251,0.8909
1890,350,0.5301
2885,44,0.3052
2124,126,1.6825
1545,632,0.9712
2627,88,0.6496
1164,210,-0.0713
318,394,0.1968
244,293,0.1846
193,26,1.3708
1946,1324,0.1685
2809,264,-0.3088
1320,131,1.1533
772,103,-0.3600
37,257,0.9558
2363,10,1.7065
100,577,0.8492
233,180,0.2550
807,473,0.5515
1912,415,0.7492
2440,445,-0.3064
1025,122,1.0836
521,558,0.7322
1990,39,0.0875
2534,291,0.6083
633,559,0.4962
689,440,0.8817
2053,249,1.6187
1092,171,0.6902
2067,43,-0.5270
464,137,0.3135
2659,209,-0.7835
1098,3297,0.2633
862,105,0.8925
2536,6,0.6693
2797,872,0.4045
652,54,-0.1507
2005,12,0.8403
1276,1139,-0.2034
273,1240,-0.0912
338,142,-0.4631
2144,523,0.6555
1209,327,0.4336
755,24,2.9473
406,742,0.0843
701,1205,-0.4384
1415,731,0.0138
2858,157,0.8195
1478,297,0.6150
1454,248,-0.4759
2534,958,-0.4426
1861,1115,-0.1069
1029,9,0.2551
276,692,0.2490
225,6,2.3203
2632,8,0.7745
2155,246,0.3477
1749,289,1.5622
2835,839,1.3449
65,935,-0.0339
1670,147,-0.0374
2704,4,1.1825
2912,128,1.6547
422,1107,1.0141
973,157,0.4794
1911,401,-0.6195
983,1109,0.1152
1147,388,0.4496
122,772,0.7586
2639,864,-0.3179
2004,129,0.1937
1045,9,1.7842
1979,105,0.1818
602,1253,0.7753
567,132,0.1824
1091,706,2.6467
2400,1188,-0.2060
973,684,0.6986
2834,1106,-0.1115
486,415,-0.0001
359,239,0.3971
983,187,0.0409
2449,4,1.0659
2396,639,-0.0325
1568,369,-0.3822
1147,581,-0.7096
2733,90,2.0151
1351,122,1.3642
69,981,1.8626
24,205,-0.3135
1594,527,0.2609
1063,105,-0.1746
1092,2097,0.3034
15,845,-0.2030
557,40,1.5010
223,1089,0.4803
789,90,0.8801
2276,544,0.1610
2213,1490,-0.2088
907,1186,0.7334
1688,39,-1.2026
2852,37,0.4578
2431,24,0.7113
2729,2111,-0.2754
835,1103,0.5905
2192,246,-0.5666
1209,1936,0.4336
127,338,0.3367
2005,29,1.0800
1345,1299,-0.1099
2399,71,0.9520
1605,246,0.9403
1338,82,0.6813
1874,1084,-0.5026
2353,122,1.6740
1905,259,0.0922
2964,88,1.3309
1642,20,1.9275
