userID,itemID,rating
2345,468,-0.86
381,181,1.71
2679,320,-0.56
1638,632,-1.17
1562,40,-0.68
42,180,1.85
244,202,0.64
2456,825,0.78
2095,44,3.39
516,276,-0.80
620,449,-0.12
2320,202,0.98
521,197,-0.28
2731,22,-0.16
2026,858,2.23
1778,9,1.72
2039,43,1.71
2581,52,-0.27
927,183,1.99
1516,23,1.36
2958,3,-0.67
2252,779,-0.00
125,1837,-0.53
34,36,0.95
996,475,1.23
2720,415,-0.02
2940,206,-0.12
1691,47,2.54
722,1205,-0.15
1612,246,0.37
1338,558,-0.04
1103,632,0.02
2121,178,-0.38
2301,1040,-0.61
2548,693,0.21
1716,2522,0.97
454,44,0.81
254,873,-0.32
120,563,0.78
2751,9,0.73
2598,210,1.45
1333,1729,-0.11
2901,311,1.91
722,382,-0.15
1439,9,2.88
247,247,-0.06
2912,311,1.60
2252,158,1.99
1531,476,1.27
2345,68,1.90
1824,358,0.24
521,36,0.93
2580,1226,-0.59
2712,569,-0.08
1467,2250,0.41
1836,36,-0.08
23,182,1.74
2108,112,0.98
889,40,1.11
2708,1067,-0.17
952,206,0.41
1519,367,0.41
913,535,-0.01
1906,227,-0.04
1939,40,1.24
791,854,0.64
2013,103,2.28
2144,181,1.88
2356,2107,-0.87
223,915,2.71
1749,177,-0.07
2266,133,1.27
1782,1672,0.44
1460,518,0.40
2750,169,-0.11
2320,624,0.81
2724,306,1.19
893,317,1.32
1201,165,-0.34
1920,89,-0.83
1732,1638,-0.41
1969,183,2.52
885,18,-0.06
2735,309,0.39
2027,178,1.39
2835,14,3.77
1906,1908,-0.04
1231,632,1.45
1718,165,1.03
2654,43,1.84
531,562,2.07
354,126,0.27
1004,793,0.37
1336,7,0.12
899,124,0.85
1700,124,-0.59
145,90,2.80
2595,73,2.94
2087,1181,1.04
1883,1249,1.29
4,71,2.22
1175,864,-0.17
1359,53,1.64
480,249,2.72
1630,14,-0.23
1150,1966,-0.01
2504,202,1.22
2624,1224,0.84
2188,1995,0.07
560,1671,-0.07
373,227,1.02
454,1009,0.81
902,359,0.23
2491,1046,0.54
882,72,0.75
2179,21,-0.59
505,5,1.90
1680,2,-0.29
608,249,3.20
214,127,-0.10
2510,87,0.19
1476,7,0.29
95,1107,1.30
1477,10,0.73
475,289,-0.57
25,1106,-0.50
262,1173,-0.10
146,0,0.31
90,90,-0.11
1837,202,0.30
1195,168,-0.44
1334,800,-0.68
1329,394,1.18
1098,825,1.72
2929,768,1.13
1568,297,0.22
1119,773,-0.38
48,279,0.11
1338,712,-0.04
2687,72,5.12
701,152,1.24
2077,1054,-0.64
213,754,1.21
867,1165,2.10
1495,2891,-0.12
2511,873,-0.30
669,1,1.16
2896,341,-0.41
1937,632,1.27
607,1838,-0.91
1345,202,1.21
365,537,-0.28
1701,389,0.27
1230,183,0.47
1996,1170,0.29
1079,122,0.74
1110,2,1.68
218,158,-0.23
