userID,itemID,rating
2345,468,2.96
381,181,3.83
2679,320,3.19
1638,632,2.82
1562,40,3.37
42,180,4.40
244,202,3.72
2456,825,3.39
2095,44,3.61
516,276,2.71
620,449,3.32
2320,202,3.67
521,197,3.21
2731,22,3.31
2026,858,3.45
1778,9,2.79
2039,43,4.02
2581,52,3.76
927,183,3.77
1516,23,3.61
2958,3,3.27
2252,779,3.49
125,1837,3.45
34,36,3.23
996,475,3.79
2720,415,3.32
2940,206,4.18
1691,47,3.77
722,1205,3.29
1612,246,3.93
1338,558,3.16
1103,632,3.69
2121,178,3.64
2301,1040,2.87
2548,693,3.48
1716,2522,4.77
454,44,4.09
254,873,3.17
120,563,2.87
2751,9,3.45
2598,210,3.89
1333,1729,3.33
2901,311,3.22
722,382,3.29
1439,9,2.81
247,247,3.29
2912,311,3.70
2252,158,3.42
1531,476,3.10
2345,68,2.96
1824,358,3.79
521,36,3.13
2580,1226,3.47
2712,569,3.46
1467,2250,3.44
1836,36,3.81
23,182,3.69
2108,112,2.65
889,40,3.78
2708,1067,3.55
952,206,3.97
1519,367,3.97
913,535,3.59
1906,227,3.00
1939,40,3.85
791,854,4.58
2013,103,3.72
2144,181,3.94
2356,2107,2.97
223,915,3.66
1749,177,3.28
2266,133,3.56
1782,1672,2.64
1460,518,3.67
2750,169,3.19
2320,624,3.66
2724,306,3.68
893,317,3.64
1201,165,3.83
1920,89,2.78
1732,1638,3.34
1969,183,3.15
885,18,4.41
2735,309,3.86
2027,178,3.24
2835,14,3.87
1906,1908,3.04
1231,632,3.36
1718,165,3.13
2654,43,4.47
531,562,4.09
354,126,4.37
1004,793,3.78
1336,7,3.51
899,124,3.84
1700,124,3.25
145,90,3.96
2595,73,3.68
2087,1181,3.02
1883,1249,3.71
4,71,4.25
1175,864,2.55
1359,53,2.72
480,249,3.80
1630,14,3.50
1150,1966,3.51
2504,202,3.58
2624,1224,4.00
2188,1995,3.55
560,1671,3.15
373,227,4.44
454,1009,4.00
902,359,4.10
2491,1046,4.17
882,72,4.34
2179,21,3.14
505,5,4.24
1680,2,3.54
608,249,3.52
214,127,3.41
2510,87,3.88
1476,7,3.61
95,1107,3.61
1477,10,4.24
475,289,3.73
25,1106,3.32
262,1173,3.44
146,0,3.96
90,90,3.76
1837,202,3.88
1195,168,3.35
1334,800,3.37
1329,394,3.34
1098,825,3.71
2929,768,3.66
1568,297,2.81
1119,773,3.30
48,279,3.42
1338,712,3.12
2687,72,3.71
701,152,3.00
2077,1054,3.03
213,754,3.30
867,1165,3.46
1495,2891,3.42
2511,873,3.39
669,1,3.74
2896,341,3.13
1937,632,4.59
607,1838,3.22
1345,202,3.12
365,537,3.52
1701,389,4.07
1230,183,3.42
1996,1170,3.98
1079,122,3.23
1110,2,4.09
218,158,3.38
2144,305,3.82
1058,309,4.61
2805,5,3.07
560,43,3.18
2950,854,3.44
553,20,3.47
2541,1299,3.87
1329,1351,3.34
1407,183,3.57
1306,71,3.86
930,834,3.56
1195,347,3.31
1672,1165,4.12
249,242,3.33
2253,37,3.20
2347,317,3.04
171,72,3.99
710,203,3.85
1076,219,3.92
2258,9,3.58
969,518,3.67
1653,616,3.18
1059,781,2.81
2252,1662,3.49
1954,28,3.57
2087,1966,3.04
2191,1294,4.04
2536,121,3.33
247,72,3.39
2625,255,3.57
2013,37,3.74
2296,932,3.19
1329,1432,3.34
443,2476,3.63
2683,34,3.49
2666,159,3.12
2380,289,3.23
2934,31,3.54
297,487,3.57
320,44,3.93
2942,178,2.88
338,207,3.08
1920,2157,2.84
2750,45,3.26
653,498,3.70
1052,157,3.17
2080,549,3.38
2465,94,4.22
196,211,3.45
710,159,3.86
2229,853,3.99
1529,206,4.49
1970,1266,3.85
943,129,3.68
1906,1070,3.07
2014,284,3.76
1749,539,3.30
1868,289,3.44
312,216,2.59
91,246,3.79
2707,653,4.27
532,24,3.31
2081,988,3.56
1091,559,4.22
541,383,3.76
18,672,2.71
2671,248,3.78
2878,1624,3.11
2518,2616,3.47
2460,18,3.60
1330,1416,3.40
1302,72,4.00
2454,205,3.66
1384,179,2.85
2122,36,3.16
2812,820,3.61
511,387,3.41
42,488,4.34
2097,2041,3.96
1731,286,3.59
12,325,2.70
2320,66,3.70
12,237,2.71
1642,706,3.47
2003,81,2.97
2658,2543,3.41
1466,44,3.28
797,296,3.57
899,287,3.81
2896,6,3.32
819,4,3.83
1581,178,3.41
2771,529,3.48
98,502,2.91
33,843,3.64
235,1072,3.14
93,54,3.10
1821,154,3.55
978,314,3.18
2472,706,3.88
1345,1610,3.04
661,115,3.26
1763,93,3.43
426,1224,3.60
