userID,itemID,rating
2345,468,-0.57
381,181,0.81
2679,320,-0.34
1638,632,-0.51
1562,40,0.97
42,180,1.71
244,202,1.02
2456,825,0.38
2095,44,0.46
516,276,-0.85
620,449,-0.08
2320,202,0.82
521,197,-0.24
2731,22,0.14
2026,858,-0.03
1778,9,0.49
2039,43,1.43
2581,52,0.64
927,183,1.52
1516,23,0.62
2958,3,-0.00
2252,779,0.02
125,1837,-0.08
34,36,0.51
996,475,0.43
2720,415,-0.04
2940,206,1.37
1691,47,0.55
722,1205,-0.19
1612,246,0.54
1338,558,-0.24
1103,632,0.77
2121,178,0.48
2301,1040,-0.70
2548,693,-0.08
1716,2522,1.12
454,44,0.95
254,873,-0.17
120,563,-0.55
2751,9,1.35
2598,210,1.29
1333,1729,-0.25
2901,311,-0.18
722,382,-0.26
1439,9,0.51
247,247,-0.12
2912,311,0.32
2252,158,0.11
1531,476,-0.26
2345,68,-0.39
1824,358,0.53
521,36,0.41
2580,1226,0.03
2712,569,-0.07
1467,2250,-0.13
1836,36,0.97
23,182,0.76
2108,112,-0.73
889,40,1.30
2708,1067,0.05
952,206,0.91
1519,367,0.44
913,535,0.21
1906,227,-0.24
1939,40,1.40
791,854,1.21
2013,103,0.33
2144,181,0.89
2356,2107,-0.04
223,915,0.22
1749,177,-0.22
2266,133,0.96
1782,1672,-0.34
1460,518,0.19
2750,169,-0.22
2320,624,0.75
2724,306,0.42
893,317,0.32
1201,165,0.63
1920,89,-0.48
1732,1638,2.17
1969,183,0.46
885,18,1.93
2735,309,0.77
2027,178,0.30
2835,14,0.91
1906,1908,-0.50
1231,632,0.13
1718,165,-0.06
2654,43,2.19
531,562,0.61
354,126,1.62
1004,793,0.42
1336,7,0.90
899,124,0.38
1700,124,-0.26
145,90,1.24
2595,73,0.91
2087,1181,-0.46
1883,1249,0.67
4,71,1.50
1175,864,-0.83
1359,53,-0.33
480,249,1.07
1630,14,0.82
1150,1966,-0.02
2504,202,1.15
2624,1224,1.57
2188,1995,-0.07
560,1671,-0.40
373,227,1.20
454,1009,0.40
902,359,1.91
2491,1046,0.91
882,72,1.82
2179,21,-0.27
505,5,2.32
1680,2,0.41
608,249,0.76
214,127,0.15
2510,87,0.35
1476,7,0.63
95,1107,0.17
1477,10,1.66
475,289,0.69
25,1106,-0.28
262,1173,-0.03
146,0,0.85
90,90,0.80
1837,202,1.14
1195,168,0.12
1334,800,0.22
1329,394,-0.16
1098,825,0.38
2929,768,0.18
1568,297,-0.52
1119,773,-0.12
48,279,0.13
1338,712,-0.39
2687,72,1.27
701,152,-0.46
2077,1054,-0.52
213,754,-0.11
867,1165,-0.04
1495,2891,0.12
2511,873,0.09
669,1,0.47
2896,341,0.73
1937,632,1.22
607,1838,-0.30
1345,202,0.46
365,537,0.13
1701,389,0.65
1230,183,0.92
1996,1170,0.41
1079,122,0.43
1110,2,1.18
218,158,0.24
2144,305,0.38
1058,309,1.36
2805,5,1.00
560,43,0.53
2950,854,1.14
553,20,1.09
2541,1299,0.44
1329,1351,-0.14
1407,183,0.94
1306,71,0.92
930,834,0.36
