userID,itemID,rating
2345,468,2.965517
381,181,4.021004
2679,320,3.161326
1638,632,2.796296
1562,40,3.306402
42,180,4.383232
244,202,3.849277
2456,825,3.469087
2095,44,3.754377
516,276,2.676490
620,449,3.333333
2320,202,3.569794
521,197,3.219718
2731,22,3.317978
2026,858,3.529939
1778,9,3.071162
2039,43,3.825207
2581,52,3.927868
927,183,3.824980
1516,23,3.566305
2958,3,3.279691
2252,779,3.437149
125,1837,3.450000
34,36,3.160275
996,475,3.880525
2720,415,3.328913
2940,206,4.066574
1691,47,3.639536
722,1205,3.292945
1612,246,3.971824
1338,558,3.341094
1103,632,3.583451
2121,178,3.566667
2301,1040,2.874172
2548,693,3.373429
1716,2522,4.769231
454,44,4.042732
254,873,3.178571
120,563,2.975133
2751,9,3.366848
2598,210,3.796475
1333,1729,3.294053
2901,311,3.267008
722,382,3.262695
1439,9,2.917402
247,247,3.323217
2912,311,3.769093
2252,158,3.320131
1531,476,2.841831
2345,68,3.009509
1824,358,3.760417
521,36,3.183507
2580,1226,3.472727
2712,569,3.470588
1467,2250,3.435252
1836,36,3.719521
23,182,4.052282
2108,112,2.419185
889,40,3.776538
2708,1067,3.611556
952,206,3.894737
1519,367,3.953858
913,535,3.526113
1906,227,2.873476
1939,40,3.788191
791,854,4.555556
2013,103,3.653698
2144,181,4.158818
2356,2107,2.965909
223,915,3.682662
1749,177,3.272980
2266,133,3.402980
1782,1672,2.671187
1460,518,3.653846
2750,169,3.204335
2320,624,3.540435
2724,306,3.655462
893,317,3.692561
1201,165,3.817296
1920,89,2.497062
1732,1638,3.339286
1969,183,3.050110
885,18,4.341934
2735,309,3.965126
2027,178,3.518615
2835,14,4.097734
1906,1908,3.018788
1231,632,3.457172
1718,165,3.321504
2654,43,4.179558
531,562,4.326257
354,126,4.301706
1004,793,3.789474
1336,7,3.621953
899,124,3.849269
1700,124,3.252427
145,90,4.164388
2595,73,3.685053
2087,1181,2.800451
1883,1249,3.731187
4,71,4.433463
1175,864,2.490292
1359,53,2.782841
480,249,3.738437
1630,14,3.515679
1150,1966,3.531031
2504,202,3.746531
2624,1224,4.000000
2188,1995,3.543353
560,1671,3.148000
373,227,4.388364
454,1009,4.007092
902,359,4.101755
2491,1046,4.194444
882,72,4.371546
2179,21,3.142857
505,5,4.115321
1680,2,3.500000
608,249,3.461179
214,127,3.426255
2510,87,3.890071
1476,7,3.464030
95,1107,3.667365
1477,10,4.125000
475,289,3.633433
25,1106,3.317647
262,1173,3.403388
146,0,3.875217
90,90,3.721038
1837,202,4.067161
1195,168,3.304051
1334,800,3.405466
1329,394,3.341478
1098,825,3.669912
2929,768,3.635218
1568,297,2.770980
1119,773,3.333333
48,279,3.425926
1338,712,2.941769
2687,72,4.052690
701,152,3.055861
2077,1054,3.046712
213,754,3.300189
867,1165,3.534977
1495,2891,3.423469
2511,873,3.436260
669,1,3.594533
2896,341,3.133333
1937,632,4.571429
607,1838,3.218750
1345,202,3.068519
365,537,3.442810
1701,389,4.050000
1230,183,3.394990
1996,1170,3.977273
1079,122,3.738806
1110,2,3.938055
218,158,3.301008
2144,305,3.559255
1058,309,4.558459
2805,5,3.014133
560,43,3.086671
2950,854,3.416667
553,20,3.392358
2541,1299,3.826504
1329,1351,3.422365
1407,183,3.545096
1306,71,3.777582
930,834,3.647957
1195,347,3.323529
1672,1165,4.127924
249,242,3.307996
2253,37,3.269290
2347,317,3.041667
171,72,3.818725
710,203,3.715753
1076,219,3.912162
2258,9,3.583627
969,518,3.650000
1653,616,3.150709
1059,781,2.677851
2252,1662,3.502735
1954,28,3.569765
2087,1966,3.023539
2191,1294,4.038462
2536,121,3.199646
247,72,3.286744
2625,255,3.523097
2013,37,3.791515
2296,932,3.177644
1329,1432,3.349917
443,2476,3.631579
2683,34,3.483662
2666,159,3.196903
2380,289,3.380567
2934,31,3.524961
297,487,3.675086
320,44,3.805586
2942,178,3.317993
338,207,3.109307
1920,2157,2.841270
2750,45,3.549732
653,498,3.714286
1052,157,3.111054
2080,549,3.276887
2465,94,4.042659
196,211,3.441176
710,159,3.687797
