userID,itemID,rating
2345,468,2.799267
381,181,3.893587
2679,320,2.959634
1638,632,2.843363
1562,40,3.397342
42,180,4.414415
244,202,3.784264
2456,825,3.232330
2095,44,3.706042
516,276,2.525051
620,449,3.337184
2320,202,3.495220
521,197,3.097973
2731,22,3.211073
2026,858,3.405400
1778,9,2.813646
2039,43,3.825747
2581,52,3.875260
927,183,3.649152
1516,23,3.411247
2958,3,3.174130
2252,779,3.584743
125,1837,0.918005
34,36,3.393768
996,475,3.783705
2720,415,3.358530
2940,206,4.255351
1691,47,3.818092
722,1205,2.942816
1612,246,3.972788
1338,558,3.135321
1103,632,3.759509
2121,178,3.798402
2301,1040,2.806792
2548,693,3.142139
1716,2522,3.840408
454,44,4.107642
254,873,3.282139
120,563,2.971231
2751,9,3.307512
2598,210,3.804590
1333,1729,3.384433
2901,311,3.225521
722,382,3.033395
1439,9,2.709975
247,247,3.593495
2912,311,3.687063
2252,158,3.461445
1531,476,3.038379
2345,68,2.854181
1824,358,3.814992
521,36,3.192730
2580,1226,3.545786
2712,569,2.997926
1467,2250,3.438687
1836,36,3.839615
23,182,3.718051
2108,112,2.629017
889,40,3.295529
2708,1067,3.834662
952,206,4.029348
1519,367,3.882990
913,535,3.370012
1906,227,2.878079
1939,40,3.520998
791,854,4.335549
2013,103,3.691741
2144,181,4.109668
2356,2107,2.275566
223,915,3.691648
1749,177,3.316186
2266,133,3.386814
1782,1672,2.699216
1460,518,3.523774
2750,169,3.232883
2320,624,3.591687
2724,306,3.701456
893,317,3.631039
1201,165,3.706780
1920,89,2.964493
1732,1638,2.671343
1969,183,3.172209
885,18,4.285445
2735,309,3.893795
2027,178,3.370376
2835,14,3.684212
1906,1908,2.893514
1231,632,3.261110
1718,165,3.199926
2654,43,4.267475
531,562,4.224402
354,126,4.360999
1004,793,3.780201
1336,7,3.580026
899,124,3.808754
1700,124,3.150078
145,90,3.880362
2595,73,3.670709
2087,1181,2.977472
1883,1249,3.784701
4,71,4.159798
1175,864,2.555979
1359,53,2.534676
480,249,3.721491
1630,14,3.515412
1150,1966,3.430117
2504,202,3.637440
2624,1224,3.977084
2188,1995,2.438968
560,1671,2.993660
373,227,4.405736
454,1009,3.952342
902,359,4.162233
2491,1046,4.152828
882,72,4.163977
2179,21,2.065176
505,5,4.102340
1680,2,3.502144
608,249,3.711534
214,127,3.111929
2510,87,3.652889
1476,7,3.619307
95,1107,3.637263
1477,10,4.068499
475,289,3.763711
25,1106,2.762010
262,1173,3.538035
146,0,3.952337
90,90,3.687731
1837,202,3.889058
1195,168,3.281147
1334,800,3.395932
